pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Espana,prestamo_pyme_modelo,"Precio (tipo MIR, tramo <=1 M)",3.4107,pct_anual,2026,"Modelo propio sobre BCE (MIR), EBA y Banco de Espana",,2026-09-17,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,"OBSERVADO. MIR, media 2026 ponderada por volumen"
Espana,prestamo_pyme_modelo,Comisiones,0.8733,pct_anual,2026,"Modelo propio sobre BCE (MIR), EBA y Banco de Espana",,2026-09-17,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,OBSERVADO. Cuna TAE-TEDR del Boletin Estadistico
Espana,prestamo_pyme_modelo,Ingreso total,4.2840,pct_anual,2026,"Modelo propio sobre BCE (MIR), EBA y Banco de Espana",,2026-09-17,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,precio mas comisiones
Espana,prestamo_pyme_modelo,Coste de los recursos de empresa,0.7622,pct_anual,2026,"Modelo propio sobre BCE (MIR), EBA y Banco de Espana",,2026-09-17,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,OBSERVADO. Tipos de deposito del MIR ponderados por los saldos del BSI. SUPUESTO asociado: el credito PYME se financia con deposito de empresa. Con fondeo en mercado (Euribor 2.23%) el ROE seria muy inferior
Espana,prestamo_pyme_modelo,Margen bruto,3.5218,pct_anual,2026,"Modelo propio sobre BCE (MIR), EBA y Banco de Espana",,2026-09-17,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,ingreso menos coste
Espana,prestamo_pyme_modelo,Coste del riesgo,0.5941,pct_cartera,2026,"Modelo propio sobre BCE (MIR), EBA y Banco de Espana",,2026-09-17,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,ratio,media_ponderada_volumen,"OBSERVADO. PD por LGD de la clase IRB 'Corporates - Of Which: SME', mediana de entidades declarantes, COREP C 9.02"
Espana,prestamo_pyme_modelo,Gastos de explotacion,1.4841,pct_cartera,2026,"Modelo propio sobre BCE (MIR), EBA y Banco de Espana",,2026-09-17,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,ratio,media_ponderada_volumen,SUPUESTO parcial. Eficiencia del EBA (grupo) aplicada al margen
Espana,prestamo_pyme_modelo,Resultado antes de impuestos,1.4436,pct_cartera,2026,"Modelo propio sobre BCE (MIR), EBA y Banco de Espana",,2026-09-17,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,ratio,media_ponderada_volumen,margen menos riesgo menos gastos
Espana,prestamo_pyme_modelo,Capital asignado,8.1258,pct_rwa,2026,"Modelo propio sobre BCE (MIR), EBA y Banco de Espana",,2026-09-17,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,ratio,media_ponderada_volumen,OBSERVADO. Densidad de RWA de la cartera PYME 59.5% (EBA Transparency Exercise) sobre CET1 observado
Espana,prestamo_pyme_modelo,ROE del prestamo PYME,12.4357,pct_roe,2026,"Modelo propio sobre BCE (MIR), EBA y Banco de Espana",,2026-09-17,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,ratio,media_ponderada_volumen,MODELIZADO. Tipo del impuesto de sociedades aplicable a bancos en Espana: 30.0%
Espana,prestamo_pyme_modelo,Tipo impositivo aplicado,30.0000,pct_roe,2026,"Modelo propio sobre BCE (MIR), EBA y Banco de Espana",,2026-09-17,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,ratio,media_ponderada_volumen,"OBSERVADO. Tipo aplicable a bancos. Espana 30%% por el art. 29 LIS; Irlanda 15%% por el minimo de Pilar Dos; el resto, tipo combinado 2026"
Alemania,prestamo_pyme_modelo,"Precio (tipo MIR, tramo <=1 M)",4.3913,pct_anual,2026,"Modelo propio sobre BCE (MIR), EBA y Banco de Espana",,2026-09-17,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,"OBSERVADO. MIR, media 2026 ponderada por volumen"
Alemania,prestamo_pyme_modelo,Comisiones,0.8733,pct_anual,2026,"Modelo propio sobre BCE (MIR), EBA y Banco de Espana",,2026-09-17,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,SUPUESTO. Se aplica la cuna espanola de 87 pb; este pais no publica tipo con comisiones para empresas
Alemania,prestamo_pyme_modelo,Ingreso total,5.2646,pct_anual,2026,"Modelo propio sobre BCE (MIR), EBA y Banco de Espana",,2026-09-17,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,precio mas comisiones
Alemania,prestamo_pyme_modelo,Coste de los recursos de empresa,1.0949,pct_anual,2026,"Modelo propio sobre BCE (MIR), EBA y Banco de Espana",,2026-09-17,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,OBSERVADO. Tipos de deposito del MIR ponderados por los saldos del BSI. SUPUESTO asociado: el credito PYME se financia con deposito de empresa. Con fondeo en mercado (Euribor 2.23%) el ROE seria muy inferior
Alemania,prestamo_pyme_modelo,Margen bruto,4.1697,pct_anual,2026,"Modelo propio sobre BCE (MIR), EBA y Banco de Espana",,2026-09-17,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,nivel,media_ponderada_volumen,ingreso menos coste
Alemania,prestamo_pyme_modelo,Coste del riesgo,0.3960,pct_cartera,2026,"Modelo propio sobre BCE (MIR), EBA y Banco de Espana",,2026-09-17,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,ratio,media_ponderada_volumen,"OBSERVADO. PD por LGD de la clase IRB 'Corporates - Of Which: SME', mediana de entidades declarantes, COREP C 9.02"
Alemania,prestamo_pyme_modelo,Gastos de explotacion,2.2996,pct_cartera,2026,"Modelo propio sobre BCE (MIR), EBA y Banco de Espana",,2026-09-17,Hasta 1 M EUR,Total initial rate fixation,tamano_prestamo,ratio,media_ponderada_volumen,SUPUESTO parcial. Eficiencia del EBA (grupo) aplicada al margen
